clean_text,sentiment
sen varya sen bir tanesin,Positive
allah rahmet eylesin mekanları cennet makamları ali olsun vatan sağ olsun,Positive
peki ya kürtler ve ermeniler onlara topraklarını ne zaman geri vereceksiniz,Negative
maşaallah gurur duyduk,Positive
turkiyeyi parcalayarak bunu abcd planlari var beceremezlerise dunya savasi ile bunu yapacaklar,Negative
somali cumhurbaşkanı türkiyeyi istila eden vatandaşlarını ziyarete gelmiştir gelmişken saraya uğramış esaddan çok gelip giden yoktu,Neutral
hadi ordan dönek,Negative
yahu su bunak yedek lastigi ciddiye alip sozlerini paylasmayalim lutfen,Negative
sayın cumhurbaşkanım yılı öncesi oda ve vergi kaydı olan bağkur kaydı olmayan son kez bir af esnaf geriye yönelik prim borçlarını ödeyip olabilsin çok magduruz bu biçimde emekli olamıyorlarşimdi pandemi döneminde değilse ne zaman lütfen sesimizi duyun,Negative
bana bak herkesin seksen tane derdi var milletin içkisiyle sigarasıyla uğraşma sayende son bir ayda sahte içkiden ölenlerin sayısı aileleri ne durumda haberin var mı,Negative
helallll başkanım,Positive
en son seçimde ekonomi yüzünden oy vermeyecekleri de m şimşek ile kandırdı bugün demişki faiz aynen devam edecek değişiklik beklemesin kimse kazıkladı seçmeni güya m şimşek dilediği gibi yönetecekmiş pazarlığı oldu yetki aldı demişlerdi ama yetki bende diyor hala alın hayrını,Negative
sayin baskanim sesmize ses ver felsefe gerekli degeri geleceklr umutlu yarinlar icin,Positive
işıklar içinde uyusun,Positive
tesekkuler babamiz cok seviyoruz senin,Positive
yolunuz yolumuzdur,Positive
zaferin tohumlarını ekecek elbette yeni nesildir ve yeni nesli yetiştirecek olanlar da öğretmenlerdir sayın bakanım sözleşmeli öğretmenler yıl süresinin kısaltılmasını istiyor altı yıl aileden uzak yaşamak zulümdür,Negative
metal yorgunluk ve feto ile geçmişi olan kişi yada kişilere görev verilirse bu mücadelenin üstesinden gelemez melih memiş çelik kaç yılına kadar zaman gazetesi abonesiymiş ve kolejlerine çocuklarından birini göndermişmi araştırın sayın,Negative
tabanı empati yapsın biraz kafasını ahaberden kaldırıp baksın damat beratın kanalından akıtılan yalan dünyadan kurtulsun,Negative
fayda vermeyeceği gün beni mahcup etme şuara,Negative
sizin koronaniz hikaye kisi bi koğuşta pislik icinde yatarken mi aliyorsunuz önleminizi rutbeli personel kantin ve yemekhane gorevlileri her gün disari cikip kislaya geri dönerken mi bin kisi ayni ictimada toplanirken mi kimsenin hayatiyla oynamaya hakkiniz yok,Negative
kaçırılanlar nerede,Negative
siz insan değilsiniz barbar canavarlar anca bunu yapar,Negative
hayırlı olsun allah utandırmasın,Positive
allah rahmet etsin mekanı cennet olsun inşaallah,Positive
sosyal yardımlar artıyor mu sosyal yardımların niteliği veriliş şekli ve mükerrerliği konusu nasıldır konularına açıklık getirdi,Neutral
sayın cumhurbaşkanım sizden mahkumlar için bir yasa ör ve cinsel suçlar hariç yıl ceza indirimi verseniz keşke,Positive
güvenlik korucuları mağdurdır özlük hakları kıdem tazminatı istiyorlar istiyorlar istiyorlar istiyorlar istiyorlar istiyorlar istiyorlar istiyorlar istiyorlar istiyorlar istiyorlar istiyorlar istiyorlar istiyorlar istiyorlar istiyorlar istiyorlar istiyorlar,Negative
çıraklık ve staj adelet bekliyor,Neutral
boş ve başarısız konuşuyor,Negative
bin mezunuyla sosyal çalışmacılar atama bekliyir,Neutral
chp kılıçtaroğluna mahkum değö ve pkk nın resmi sözcüsü hdp ile kol kola yürümek zorunda değır chplikaranlığa gidiyoruz,Negative
ya siz ne iki yuzlusunuz hem bu şehitdi şehit edeni kinama hem cenazesine katil tabiki kovulacaksin,Negative
boş konuşuyorsun kilicdaroglu,Negative
rabbim tüm kahraman mehmetçiklerimizi korusun güç kuvvet versin,Positive
reisimize bu hakaretleri yağdıran bu kanı bozuk soysuzu ne zaman alacaksınız yatağından soylu bakanım,Negative
sıra adalet e gelmeden zulümlü yeni türkiye de her şey hikaye sadece,Negative
zamanında bize dolar almayın yaya kalırsınız deyip zarar ettiren ticaret zekası şimdide ev alın deyip paramızı topluyor mücbir sebeple proje iptal olursa paramız ne olacak paramızı geri alabilecek miyiz yoksa bir bardak soguk su mu içecegiz üzerine acil cevap,Negative
bildirgenin özeti şu büyük kentlerde oylar chp ye dem parti ve öncesi tam arka bahçe oldu chp nin size de oy yok artık,Negative
adam değilsinki seni muhattap alsinlar sexx kasedinden koltuğa oturmuş kansiz adi bir yaratiksin zaten ortada chp diye partide yok,Negative
eee tüccar adamsın vesselamheralde dükkanın önü kapatılmasın istersin islamı üsüllere göre tüccarlık yapılır yapılır istersn,Negative
erzurum konuşması kime ait ey ülkücü kimliğin arkasına saklanan korkaklar iyi izle izlet,Negative
timsah gözyaşları döküp hançerlediğin genel başkanın tiyatro deyip tankların arasından sivişmadi mi teşkilatın kadeh kaldırıp alkış tutmadı mı bir kısım seçmenin sala okuyan imamı cami basıp darp etmedimi bırak bu işleri zihniyet meselesi bu,Negative
ancak filim kültür bakanliği şikayetimizi duymuyor o kadar yazdık görevi kötüye kullanma ne olacak şikayetleri duymuyor nede olsa mühür kültür bakanlığına sadrazammısınız yazık tiyatrocular sizi,Negative
sen ne kadar beyinsizsin bütün yorumlar aptal olduğunu işaret ediyor ve sen hala maymun oynuyorsun,Negative
bu nasılbi yüzsuzluktur yaw,Negative
sayın genel başkan tek başına iktidar olur derken eminim kendisi bile inanmıyordur ben bir daha bu partiye oy vermem,Negative
aç tavuk öyküsünü söylemekten bıkmadınız,Negative
siktir git loser toner seni aklı hala siyasete karışmakta nasıl bir hırsmış bu hain moruğunki,Negative
siz ne yapacaksınız anayasa mahkemesine gidip muhalefet yapıyoruz diyeceksiniz bu baskıların sorumlusu sizsiniz,Negative
istifa et yeter artik,Negative
staj ve çıraklık mağdurları seni hiçbir zaman unutmayacak,Negative
bakanımız sayın türkiyenin en akıllı yolu ankaraniğde otoyolunun açılışını yapmak üzere aksaraya geldi valiliğimizi ziyaret eden bakanımıza valimiz tarafından brifing verildi ımıza nazik ziyaretlerinden dolayı teşekkür ediyoruz,Positive
istanbulsözleşmesinden dönün yoksa sonunuz olacak,Negative
kendi huzuru için bütün ülkenin huzurunu kaçıran kk ve selvi hanım,Negative
bu işler evlilik dışı da oluyor yeter ki mayası bozuk olsun,Negative
azerbaycanlı sporcuya da ödül verilmeli,Positive
luppo yiyip kola içen beyinsizler yüzünden en kaliteli bakanımız süleyman soylu istifa etti şimdi tüm soysuzlar sevinecek yazıklar olsun söyleyecek kelime bulamıyorum,Negative
işimiz milletin yolunun üstündeki engelleri kaldırmak,Positive
okul nizamiyesine birakiyorum birazdan,Neutral
fizyoterapistlerin fizyoterapi programını planlama yetkisinin olmaması akla mantığa aykırıdır,Negative
ilk kısıtlama getirildiğinde de yine böyle muhalifler iş başındaydı istediğiniz kadar söylenin durun sonra hastalığı kapınca da devlet size baksın istersiniz duruma göre bakılacak dendi neyin tantanasını yapıyorsunuz canınızdan önemli mi,Negative
in cocuklari istihdam icin torba yasada yer almak istiyor,Neutral
kadınların siyasete katılımı ak parti ile zirveye ulaştı,Positive
ab aman ha mülteciler bize gelmesin diyor size euro vereceğiz siz bakın diyorlar türkiye toplama kampı mı,Negative
ya bugun halkla beraber ekrem imamoğlu yaninda olursunuz yada secimleri unutun,Negative
allah acil şifalar versin inşaallah,Positive
maalesef yunan halkı doğuştan daha sonrada okulda türkiye karşıtlığı ile büyüyor nasıl karşı gelsin biz adım atmadiktan sonra,Negative
reis bir el bu olaya pasolig uygulamasını paralelci fetöcüler çıkarttı kaldırın pasolig sistemini özgürlük gelsin tribünlere,Negative
siz gelseniz ne değişecek sizin geçmişinizi unutmadık,Negative
seçimlerden önce eşit yasa yoksa oyda yok bunu böyle bilin eski vaatlere karnımız tok seçimden sonra yasa derseniz bizdede sabır yok,Negative
patronum devlet patrondan hesap sorabilirsiniz bizi neden sigortasız çalıştırmış,Negative
denizli reisi seviyorrrrrr,Positive
hangi yıldızlar,Neutral
sayın bakanım taşeron hbysye kadroyu neden savunmadiniz grup başkan vekili iken siyasi onay verilmemesi kime bağlı olarak gerçekleşmedi hbysye kadro oğluma bir kardeş planlamak için istiyorum demiştim kimse dur demiyor rant kul hakkı yiyenlere dur denilemiyor neden allah için,Negative
fetö ile iglili amerikan yalanları,Negative
şu tablodan gurur duymayan bizden degildir,Negative
sesakayl batıran teşgilatlarlnlzda taciz tecavüz bir çare k mal,Negative
yıllardır meclis başkanvekili hdpli değilmisiz yıllardır mecliste degilmisinizyeni ortak hüdapar için sözünüz yokmu biz sabırla seçimi bekliyoruz türk milletini aptal yerine koymayı bırakın artık,Negative
sayın başkanım aileyi kompile madur eden başkanların var kaldı sen bunu diyon hemde madur ailenin işine son verildi beledyede sen neyden bahsediyon bunuda yapan senin beledye başkanın,Negative
herkes sigarayı bırakmalı bıraktım çok rahatım,Positive
bedeli ödenen yapi kayit belgeleri tarih güncellemesi yapılarak geri verilsin,Positive
mafya ya tefeciye dolandırıcıya af var çekini ödeyemeyen esnaf torbacı terörist ve sapıkla aynı katogoride af yok adaletiniz bu mu,Negative
şehitlikte içki içirerekmi adalet sağlayacan çırpındıkça batıyorsun mhp yi bölmeye çalışanlara destek verme,Negative
dedeeee ne diyorsun yine brunson olayı yapacaksın yine ne saçmalıyorsun ya,Negative
hayırlı olsun yolunuz açık allah yar ve yardımcınız olsun,Positive
tam da bu yüzden sizin akp ve mhp den bir farkınız yok aynı malın bilinki bu ülkede ırkçılığın yeniden hortlamamasi için gerekli tüm bedeller ödendi,Negative
boş konuşuyor boş elestiriyorsunuz millet cephesi chp iyi sadet pkk niye oylamada yoktu niye meclise oyu vermedi şimdi de bagiriyorlar bunların peşinden giden ler bu sorgulayın oncr,Negative
biz sözleşmeli öğretmenler nasıl olacak da ailesiz çocuksuz hepimiz olacağız,Negative
dünya lider görsün,Positive
sayın cumhurbaşkanım ak partinin kongre görüntüleri halk arasında ciddi sıkıntı yaratmaya başladı protokol olarak kuralların uyulduğu gözleniyor ama tribünleri dolduran kişilerin kurallar ile pek alakası yok,Negative
zaman geçtikçe daha da yipraniyoruz,Negative
sayın bakanım sözleşmeli öğretmenler olarak tek isteğimiz cocugumuz ve esimizle aynı çatı altında yaş bütünlüğümüz olmadan nasıl verimli olabiliriz ki aklımızda yavrumuz perişan bir şekilde çalışı çok zor atandik,Negative
yardım et lütfen bize lütfen,Neutral
yarın maç var geliyosun di mi pampa,Positive
bayrami yaşatin bizlere igdirda suçsuz yere tutuklanan kardeşim ve arkadaşları birakilsin,Negative
sayın başkanım ben hollandada emekli sade vatandaşım çok üzgünüm mertebe verdiğiniz sütü bozuklar bayrağımıza toprağımıza bölücülük amaçlı demeçleri rahatsa veriyorlar allah aşkına bunlara müsade etmeyiniz uğrunda şehitler verdiğimiz izmir mevzununa nokta koyun syglr,Negative
bu videoyu izlememiş olamazsınız derhal buna bir son verin okul idaresinden öğretmenine velisinden öğrencisine herkes sorumlu yeter artık hergün bir çocuk akran zorbalığı nedeniyle okul bırakmak zorunda kalıyor,Negative
sayin kilicdaroglu desteginizi bekliyoruz,Neutral
sayın bakanım hepimiz aynı işi yapıyorken bu ayrım niye,Negative
miting programına ulaşma imkanımız var mı,Neutral
iktidar oldular ama muktedir olamayacaklar dediğiniz günler dün gibi aklımızda,Negative
alooo ülkemiz doğalgazrezervvatan millet daha emir gelmedi sanırım tebrik edin sevinin diye,Negative
o kadar tweet attm cevap lutfen son gun,Neutral
bak adayınız ne diyor cevap verecek omurganın var mı,Negative
gururdan ağlayacağım şimdi,Positive
ya bizim mağduriyetimiz,Negative
ramazanı şerifimiz hayırlara vesile olsun inşallah sayın cumhurbaşkanım,Positive
chp nin kitabı mı dayı sözünü tutanlardan olmamak gibi bazen söylüyorsun kendi ağzınla,Negative
aylardır yanmayan sokak lambaları yansada yanmasada ck enerji takır takır parasını alıyoristanbulda buna benzer bir sürü vardır benim mahallemde de yanmı,Negative
tuvalet terliğine oy verecek kadar bağımlı ve bağnaz olanların aydınlıktan bahsetmesi ne kadar manidar,Negative
anca yetişti tebrik ediyorum sn başkanim,Positive
atanmak istiyoruz çok şey istemiyorum,Neutral
vekilim b sözleşmeliler iş güvencesi kadro istiyor,Neutral
terörden uzak dur yeter,Negative
uluslarararı kurumlar sizin kurumlarınıza benzemiyor dimi tüik falan verilerle güzelce oynuyorsunuz da bunda oynayamıyorsunuz işte ağlamaya devam yazık bu türkiye cumhuyeti vatandaşına hepimize,Negative
usta öğreticiler sizlerin desteğini asla unutmayacağız,Positive
kaynağı nereden bulacaksınız diye soranlarher şeyi yedik sattık neyi gözden kaçırdık derdinde sanırım,Negative
bizki duele nam salmis milletiz kasimda gorusmek uzere hoscakalin,Positive
mahkumların cezaevlerinde insan olduğu unutulmuş hastalıklı insanlar yaratılmış,Negative
sen değilmisinhazine müsteşarlığı yaptığın dönemde bu ülkeyi fazile dolarla borçlandıranhem de yılsahi nerde o paralarne yaptınız bu ülkeye ne ürettinizhemen sonrasında banka batırıp halkın parasına el koymadınız mıgelmiş burda duyar kasıp ahlak dersi veriyosun,Negative
artık başkasına terörist demekten kutuplaşmadan kendini arındırıp proje üreten birparti olmalı ülke için yeni politikalar üretmeli yapıcı kucaklayıcı hata yapanı bile alnından öpüp ona doğru yol telkin edici bir partiye evrilmeli yoksa sonuç vahim olur,Negative
sayın bakanın ülkemizde hane başına bir veya iki otomobil düşmektedir ve cumhurbaşkanımızın yerli otomibil üretim gayretleri bulunmakta iken bu otomobilleri evlerimizde koyacak yer bulmakta güçlük çekmektedir,Neutral
zamaninda itahlatci firmalarida yaklasaydilarşuan benim arac curuyor olmiyacakdi beceriksizler,Negative
sanatçı erdoğanın yanında olunca yalaka sizin yanınızda olunca demokrasi savunucusu öylemi dönek oğlu dönek,Negative
a sorduğum soru üzerine beni engellemesi sorunun cevabı oluyor ki tepkisi böyle kan değiştir gör bunları,Negative
nakış öğretmenleri şubat ayında atama değil adaletli atama bekliyor,Negative
mekanı cennet olsun,Positive
makaraci recep sana kim i giyde git kasimpaşada mahalle maçi yap,Negative
nolur bakanim allah aşkına şu göç sorunu ile mülteci sorunu çözülsün biktik bu milletin suriyeli afkanlı heryer demesinden,Negative
kiralık ev bulamıyoruz çok pahalı geçen sene ile bu sene arasında dünyalar kadar fark var herşey ateş pahası buna nasıl bir çözüm bulunulacak ev fiyatları nasıl düşecek mutfak yangın yeri gibi,Negative
bende bukadar olaylardan sonra hala ikdidar olan ve bunu seyrediyor olan muhalefete şaşırıyorum,Negative
bugüne kadar neyi yanlis yaptin ki oyum sana,Positive
sekreteri ismet büyükatamani yapmis oldugu açiklamalardan dolayi tebrik ediyorum agzina saglik don lastigi tam yerine oturmus,Positive
senin hariç herkesin bayramı mübarek olsun,Negative
sen merak etme reis sen dik dur asla eğilme eğilecek olanları biz eğeriz inş,Negative
polisin ailesinden huzurundan mutluluğundan size ne,Negative
bende bu tarif edilen ülkede yaşamayı istiyorum hangi ülke bu türkiyeden oraya iltica etmeyi düşünüyorum da,Negative
reis dur de artık,Negative
sayın bakanım gezicilerle korsan taşımacılar el altından hükümetin kuyusunu kazıyorlar üstüne ankara da dolaşıp turizm bahanesi ile hırsızlıklarına kılıf hazırlama peşindeler bilgilerinize arz ederim,Negative
vatandaş olarak soruyorum size diyorsunuz dışarıdan gelenleri kontrolsüz yurda sokmakta ne demek stanbul,Negative
rıza beye diyeceksin askerlik arkadaşın mı o senin,Negative
işiniz gücünüz anca algı yapmak yalan söylemek iftira atmak başka bir şeyden anlamıyorsunuz doğrusu buna hiç şaşırmıyorum osman gökçek chp demek algı demek yalan demek iftira demektir diye boşuna demiyor,Negative
okula uyum konusunda özel olarak eğitilen psikolojik danışmanların olmadığı okullarda ne olacak ben söyliyim uyum sorunu uyum sorunu olunca da artık önleyici değil müdahale edici hizmet sunulur bu da bir velinin istemeyeceği bir durumdur,Negative
bizler ulaştırma ve trafik hizmetleri bölümünü bitirmiş atanmayı bekleyen mezunlarız ulaşımın olduğu tüm birimlerde görev almak için gereken eğitimi aldık ama atama yok karayollarina atama istiyoruz,Negative
yılından önce atanan zorunlu hizmet muafiyetine uğrayanlar da zorunlu hizmet bölgelerine gitmeli ya herkese adalet ya herkese adalet,Negative
aynı yolun yolcusuyuz başbakanı atama bekliyoruz bin bekleyen arkadaşımız var,Positive
sayin başkanim sanliurfa hilvan ilcesin deki mevcut belediye başkanini istemiyoruz buna neden olarak eger verilirsehdp kazanir bunu belediyedeki calisanlari bi arastirin asiret belediyesi olmus,Negative
atama takvimi nerede,Neutral
valla sağlık bakanlığı atama yaparsan anca öyle et tavuk alabiliriz millet aç oturduğun yerden twit atması değil,Negative
aylardır yazıyor ama cevap yok,Negative
haber türk ropörtajı başarıyla sabote edildi hepsi bu bence chp li belediyelerin yaptıkları anlatılmasın diye,Negative
boraltan köprüsü desem ne dersiniz kemal bey,Negative
haden lan her boka maydanoz sunuz,Negative
bağ bahçe işleri için on günlüğüne geldim kırkbeş gündür dönemiyorum giresun dan ikamet im olan istanbul a lütfen çözüm,Neutral
inşallah amin vatana millete hayırlı uğurlu olsun,Positive
sen nasıl birisin çözemedim ya bildiğin bişey varsa türkiye için paylaş devletin yanında ol yoksa suss,Negative
kandilimiz mübarek olsun,Positive
engelli öğretmenler atama bekliyor,Neutral
sizinde amacınız zaten sahte kıtlık değil mi yola devam billin yandaşları,Negative
usta allah senin yolunu açık etsin bunu sana hemşerin olarak söylüyorum allah seni başımızdan eksik etmesin,Positive
hadi şürdan on yüzlü sahtekar seni samimi olduğun hiç bir dava yok sahi ya senin ne zaman gerçek yüzünü görebiliriz,Negative
sayın cumhurbaşkanı ve eşi belki haberiniz yok ama tüm türkiye acı çekiyor sokak hayvanlarına yapılan zulümlerden içler acısı kalmak durmak istemezsinizçalışanlar vet hekimler çok kötü muamele yapıyorlar lütfen yardım edin,Negative
uyuşturucu kaçakçılarını vergi alarak sindirecek yok edecek kemal dedem,Negative
temmuzu temsil etmeyen küçükbir azınlık grup akıl tutulması yaşıyor t da evinde mutluluk çığlıkları atanlar temmuzda olaya tiyatro diyenler şimdide pusulası şaşmışları kullanıyor,Negative
dünya lideridir erdoğan,Positive
bu spor bakanı şu an birşeyler anlatıyor futbol sahaları yapabiliyoruz diye abarta abarta konuşuyor lan bu almayanın köyüne gitsin de köylerde spor sahaları görsün almanyanin köylerinde diyorum am rhein de kaiserbergstadium var gitsin görsün,Negative
bu hala konuşuyor mu ya utanmaz herif,Negative
sayin reisi cumhur ben sana tek kelime soyliyorum asgari ucretli cakisan seni hic bir zaman affet etmyecek ve hakkmzi hlal etmym,Negative
engelliye ötv müjdesi engellerle dolu kayıt dışı para isteniyor ötv muafiyetinden yararlanarak araç almak isteyen engelli vatandaşların çoğundan bin tl arası kayıt dışı ücret talep ediliyor bir yurttaş insanları kandırmaya utanmıyorlar,Negative
hadi be reisler allah rizasi için birşeyler yapinbizim genlerimizde kafirden korkmak yok imanimiz sinaniyor,Negative
bu hesap kesin hacklendi,Negative
söylendiği tarihte atama yapılmalı bu kadar insan yılı aşkın süredir bekliyor,Neutral
atatürk bayrağını bile engellediz,Negative
yıl sonra susuzluk korkunç boyutlarda olacak kuruyan göller barajlar için ne önlem alacaksınız,Negative
ne oldu akp yantwet nerede zahmet bakarmısınız,Negative
demokrasi kahramanımız vatan sevdalısı merhum adnan menderesi şükranla rahmetle anıyorum,Positive
umarım mülakat için kontejanda olan vatansever öğretmenleri sevindirir,Positive
doğusundan batısına kadar milleti için çalışan yıldır ülkesine karış karış hizmet eden bursa trabzon batman samsun sivas sakarya elazığ diyarbakır istanbul ülkemize ve bursamıza hayırlı olsun,Positive
mezitli chp neşet tarhan belediye başkan adayi şok itiraflar,Negative
ogretmenoturma eyleminde,Positive
dolandırıcı yine geldi,Negative
bu kadar insanın sesine kulak verin,Negative
eyt aç ve mağdur evlatlarının karşısında boynu bükük evine ekmek alamayanlar var aramızda hasta olanlar var hak olanı talep ediyoruz mağduriyete son verilsin artık,Negative
adlimahkum eşityılindirim neden cezaevlerine dağıtımıyor bütün önlemler alınmış diyorsunuz ama sadece haşare ilacı sıkılmış yazık,Negative
cemaatler eline bırakılmış bakanlığa yakışır bir tweet bel çekmeokunmuş pirinç ve ezilmiş bölgelere de et koyalım mı,Negative
allahım lütfü keremiyle sizin önderliğinizde hedef kızılelma sayın genel başkanım,Positive
bu memlekete de bu yakışır helal olsun,Positive
ne iyisi be hüsnüye hanim bu seçimin en iyi kaybedeni sen olacaksin terörle işbirliği yap sonra ben iyiyim yoh yavvv,Negative
lidere bak bu adam ülkemi yurt dışında nasıl temsil edecek çok merak ediyorum,Negative
bu laflara kendin bile inanmıyorsun bay ka mal o dolarlık dediğin çanta emitasyon bin dolar bile etmez atacan bari destekli at yarın öbürgün bir tazminat da çanta için ödeme gerçi senin gibiler tazminat ödemeye müstehak ta,Negative
arkanızdayız reis,Positive
allah bu ülkeyi chpden korusun gerisi bir şekilde halolur allahın izniyle,Negative
bakan bey ayrımcılığa devam edin engelli öğretmenleri hep atayip diğer tercih yapamayan adayları unutun ayrımcılık istemiyoruz diyorlar sizden güzel haberler yok mu secimde hesap,Negative
reis filistin yıldır türkün karşısında kim varsa desteklemiştir kıbrısta rumları karabağda ermenileri yıl önce ingilizleri desteklemiştir ne israili ne filistini desteklemiyoruz,Negative
hayvanları koruma kanunu hayvanları korumuyor hayvan hakları kanunu istiyoruz bir an önce,Negative
akape yalakası muhtarlar da artık şapkalarını önüne alıp ümmetçi değil halkçı olmayı tercih etsinler,Negative
yoluna can feda türkiyem,Positive
deprem ile ilgili her türlü ölçüm aletini yerli ve milli üretmek zorundayız,Positive
artık kanmak yok reis bu işi bitirir,Negative
adam gibi adam başkomutanim başkanim recep tayyip erdoğan allah razi olsun,Positive
türkler uykusunda uyanıp öncedende yaptığı gibi görevinin başında olmalı mazlumlara yardım edip kafirlere karşı sert olmalıdır,Positive
doğum gününüz kutlu yeni yaşınız mutluyeni yaşınızda mutluluk ve huzur olması dileğiyle iyi ki doğdunuz,Positive
yemin ederim libyaya girmeyi düşünürsen seni öldürürüm kafir erdoğan seni köpek,Negative
izmir il baskani olarak seferihisar belediye baskan adayi sayin hamit nisan ciyi gormek istiyoruz cumhurbaskanimmm,Positive
sayın cumhurbaşkanım sayın akparti kurmayları lütfen halkın sesine cevap verin emin olun siyasi olarak sizde ülkemizin çıkarları olarak ülkemizde halkın çıkarları olarakda herkes mutlu olacak lütfen,Positive
teröriste gazeteci muamelesi yapanlar timsah gözyaşları dökmesin,Negative
kutlu olsun memlekete huzur gelir inşallah hayırlara vesile olmasını temenni ediyorum,Positive
bu plandemi konusunda sizinde iktidardan farkınız olmadığını gördük boşuna kendinizi yormayın esnafın kepengi kapatılırken siz neredeydiniz sesiniz çıktı mı o zaman bu tedbirler yetmez daha fazla tedbir daha fazla kapanma çağrısı yapıyordunuz o vakit,Negative
adama demezler mi yıllardır yönettiğiniz bu belediyelerde tc ibaresi neden yok sen liderimiz sayın devlet bahçeliye hiçbir zaman kapak yapamazsıızkayseri belediyesi yıllardır chpnin idi artık mhpnin tc ibaresi ekleyen başkanımız tır,Negative
sayin bakanim şehit yetimlerinin tamamina iş hakki verilmesi lazim seslerini duyun lütfen,Positive
evet gerçek adalet yoksa esnaf hapiste girer firarda olur hükümet tarafından herşey olur yazıklar olsun iflas eden esnafa adli para cezası kesip ödemezse hapise atmak hangi adalete sığıyor başkan artık yönetilmeyen krizde iflas eden esnafı görün artik,Negative
allah razı olsun başkanım,Positive
konuşmalarınızı dinledim tehditvari bir dil kullanarak bu chp yonetiminin bir adım bile yuruyemeyecegini kendi soylemlerinizde dile getiriyorsunuz bu mantıkla chp siyaset yapamaz gerçek bir chp li şuanki chp ye oy vermez,Negative
keşke adaletli bir şekilde dağıtılsaydı bu işlerde yine işimiz allaha kaldı desene gene de allah razı olsun,Positive
tarih oldu mhp kisi milletvekili maasi alsin diye ugrasanlarin disinda herkes iyi partiye gecti gecmis olsun,Negative
geçmiş olsun türkiye,Positive
allahim seni güç kuvvet versin inşallah allah seni başimizdan eksik etmesin inşallah baskanim,Positive
cumhuriyet tarihinde kez denenmiş bir sistem bu ve hep de başarısız olunmuş geçmişten hiç mi ders alınmaz,Negative
çok tsklefkosadan saygilar,Positive
bu aralar baya reklam yaptin sowcu sni kimin usagisiniz lan siz,Negative
iyi olmus,Negative
bende nakdi yardım istiyorum lütfen kirami verecem lutfen,Negative
geçen yıl yapılan sınav ile son yılın en düşük öğretmen ataması yapıldı ek öğretmen ataması bekliyoruz,Neutral
rahmet dilemek yerine ermenileri dovsenize,Negative
sayın vekilim ile bizlerinde yüzü gülecek halkın yanında olmak için kanun teklifi halkın yanında olmak demektir,Positive
pinokyo kemalll istifaaaaa,Negative
sayın bakanım yol güzergah belgesi yüzünden istanbul a gelen arap turist sayısı azalıyor ibb turizme kurşun sıkıyor,Negative
rabim gücünüze güc katsın dualarımız siznle,Positive
suriyeli arap itlerini değil türkü doyurun millet açperişan,Negative
günlerdir kıyamet kopuyor bir yandan işgalciler cirit atıyor diğer yandan sayın imamoğlu gaf üstüne gaf yapıyor genel başkan olarak üç maymunu oynuyorsunuz türk demeyi atatürkün kurduğu ülkeyi savunmak bir yana ağzınıza almıyorsunuz partime zarar veriyorsunuz duymuyor,Negative
kemal bey geçersiz olan milyon oyun sayılmasına ses çıkarmayan muhalefetin hiç suçu yok mu,Negative
kapısını çalan kişiye meşrebine dinine kıyafetine bakmaksızın tanrı misafiri gözüyle bakan bir milletiz biz,Neutral
başkanım ücretli öğretmenlere de bir desteğiniz olacak mı acaba malum okullar kapatıldı tek kuruş gelirimiz yok artık uzaktan eğitimde öğrencilerimizi takip etmeye devam ediyoruz ama devlet bizi görmezden geliyor gelirimiz yok ne yapacağız bize de yardım edin lütfen,Negative
am kodum olu,Negative
imf ile görüşme yaptınız size bu gerekçe aklı mı verdiler sizde uluslararası siyaset politika ahlak namus sözü halkcılık milliyetçilik amma ittihat terakicilik mandacılık yalancılık darbecilik eh neolsun dimi,Negative
iyi birşey yaptığını mı anlatamaya çalışıyor,Neutral
tayyip bey sizin ve ailenizin geleceği pek parlak görünmüyor,Negative
halk sizden müjdeli haber bekliyor sevindirin bizi feto nun zulmünden kurtarın eşit yasa eşit af istiyoruz meclisingündemi cezaindirimi,Negative
laboratuvar dersleri gorduk stajlarimizi yaptik mgdurz laborant ve veteriner saglik mezunlari hakkini istiyor,Neutral
vekil ve fahrilere iş güvencesi istiyoruz,Neutral
kadro istiyoruz,Neutral
rabbim seni başımızdan eksik etmesin reis,Positive
yıllarca çalışıp birikim yapıyorsun devletin güvencesi altında diye güvenip daire satın alıyorsun sene dişinden tırnağından artırıp borç ödüceksin ama aldığın daire her yağmurda su alıyor ve muhattap bulamıyorsun,Negative
hocam tam o saatte elektrik kesintisi izleyemicem icin cok mutluyum,Negative
eyt bekliyoruz siz ne bekliyirsunuz,Negative
allah milletimize ve devletimize yar ve yardımcı olsun inşallah yaşasın bu millet,Positive
ülkenin gençleri işlerinden atılıımız var keyfi bir durum değilçözüm istiyoruz,Negative
büyük başkan,Positive
kutlu davamıza sahip çıkan ve abimizin yanındayız allah yar ve yardımcımız olsun inşallah le,Positive
kumarbaz erkanın babası değil mi ya o,Negative
bay kemal nerelerdesiniz acaba gt korkusu türkiye sevdanızın önüne mi geçti,Negative
twiti önce dalgınlıkla favladım sonra irkilme geldi geri mi bu haber ya rabbim sen ve senin gibi tertemiz şehitlerimizin yüzü suyu hürmetine bu vatanı zalimlerdenahmaklardan korusun yiğ sizi rahmetiyle kuşatsın,Positive
meslek lisesi memleket meselesi,Neutral
